833
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
1920000,76800,w
0,524288,w
0,524288,w
0,524288,w
0,524288,w
0,524288,w
0,524288,w
0,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
2621440,524288,w
3145728,524288,w
0,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
2621440,524288,w
3145728,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
2621440,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
2621440,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
524288,524288,w
1048576,524288,w
1572864,524288,w
2097152,524288,w
2621440,524288,w
3145728,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
5767168,524288,w
2621440,524288,w
3145728,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
5767168,524288,w
2621440,524288,w
3145728,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
5767168,524288,w
2621440,524288,w
3145728,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
5767168,524288,w
3145728,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
3145728,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
3670016,524288,w
4194304,524288,w
4718592,524288,w
5242880,524288,w
5767168,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
8388608,524288,w
5767168,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
8388608,524288,w
5767168,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
8388608,524288,w
5767168,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
8388608,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
6291456,524288,w
6815744,524288,w
7340032,524288,w
7864320,524288,w
8388608,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
11010048,524288,w
11534336,524288,w
8388608,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
11010048,524288,w
11534336,524288,w
8388608,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
11010048,524288,w
8388608,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
11010048,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
11010048,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
11010048,524288,w
8912896,524288,w
9437184,524288,w
9961472,524288,w
10485760,524288,w
